,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
154,BUENOS AIRES,General Paz,Loma Verde,657,False,False,False,False,False,True,True,True,True,6343020.0,-35.2747490125694,-58.4041701894263,4,Pequeña
155,BUENOS AIRES,General Paz,Ranchos,7916,True,False,True,True,False,True,True,True,True,6343030.0,-35.5173520233652,-58.3184247148653,7,Mediana
156,BUENOS AIRES,La Plata,El Retiro,0,False,False,False,True,False,False,False,True,True,6441030.0,-34.9476175562489,-57.9957432212034,3,Muy pequeña
157,BUENOS AIRES,La Plata,Esquina Negra,0,False,False,False,False,False,False,False,True,True,6441030.0,-35.038806066743,-58.0593061620077,2,Muy pequeña
158,BUENOS AIRES,La Plata,Ignacio Correas,108,False,False,False,False,False,True,False,False,False,6441020.0,-35.0345600341406,-57.8440249586726,1,Muy pequeña
159,BUENOS AIRES,La Plata,Joaquin Gorina,0,False,True,False,True,False,False,True,True,True,6441030.0,-34.9017817335757,-58.039185928571,5,Muy pequeña
160,BUENOS AIRES,La Plata,Jose Hernandez,0,False,True,False,True,False,False,False,True,True,6441030.0,-34.8985896635727,-58.0143972026636,4,Muy pequeña
161,BUENOS AIRES,La Plata,Jose Melchor Romero,0,False,True,False,False,False,True,False,True,True,6441030.0,-34.9455092438623,-58.0362904746611,4,Muy pequeña
162,BUENOS AIRES,La Plata,La Cumbre,0,False,False,False,False,False,True,False,True,True,6441030.0,-34.9235917717359,-58.0019478733944,3,Muy pequeña
163,BUENOS AIRES,La Plata,La Plata,207620,True,True,True,True,True,True,True,True,True,6441030.0,-34.920863104693,-57.9540560062469,9,Grande
164,BUENOS AIRES,La Plata,La Providencia,0,False,False,False,False,False,False,False,False,False,6441030.0,-35.0232476,-58.2307028,0,Muy pequeña
165,BUENOS AIRES,La Plata,Lisandro Olmos,0,False,True,False,True,False,True,False,True,True,6441030.0,-34.9976086009747,-58.043377425691,5,Muy pequeña
166,BUENOS AIRES,La Plata,Lomas de Copello,420,False,False,False,False,False,False,False,False,False,6441040.0,-34.9520385659845,-57.8409385980167,0,Muy pequeña
167,BUENOS AIRES,La Plata,Los Hornos,0,False,True,False,True,False,True,False,True,True,6441030.0,-34.973715513981,-57.9850539062724,5,Muy pequeña
168,BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,33442,True,False,True,True,True,True,True,True,True,6826050.0,-35.9746951559846,-62.7323099655579,8,Grande
169,BUENOS AIRES,Trenque Lauquen,Trongé,23,False,False,False,False,False,True,False,False,False,6826060.0,-36.4603092402658,-62.4871229040303,1,Muy pequeña
170,BUENOS AIRES,Tres Arroyos,Balneario Orense,77,False,False,False,False,False,False,False,True,True,6833010.0,-38.8079580951783,-59.7382989446997,2,Muy pequeña
171,BUENOS AIRES,Tres Arroyos,Claromecó,2081,True,False,False,True,False,True,True,False,False,6833020.0,-38.7973744243016,-60.107623035402,4,Mediana
172,BUENOS AIRES,Tres Arroyos,Copetonas,1017,False,False,False,True,False,True,True,True,True,6833030.0,-38.7227403438549,-60.4519655195991,5,Pequeña
173,BUENOS AIRES,Tres Arroyos,Dunamar,0,False,False,False,False,False,False,False,True,True,6833110.0,-38.8586780962346,-60.0873319312173,2,Muy pequeña
174,BUENOS AIRES,Tres Arroyos,Lin Calel,0,False,False,False,False,False,True,False,False,False,6833040.0,-38.7081778337076,-60.2417246463467,1,Muy pequeña
175,BUENOS AIRES,Tres Arroyos,Micaela Cascallares (Est. Cascallares),567,False,False,False,True,False,True,True,True,True,6833050.0,-38.4926790060303,-60.4684232796744,5,Pequeña
176,BUENOS AIRES,Tres Arroyos,Orense,2063,False,False,True,True,False,True,True,True,True,6833060.0,-38.6855169253543,-59.7764287092023,6,Mediana
177,BUENOS AIRES,Tres Arroyos,Reta,495,False,False,False,False,False,True,True,True,True,6833070.0,-38.8970805514765,-60.343409791669,4,Muy pequeña
178,BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,523,False,False,False,False,False,True,True,True,True,6833080.0,-38.6931705173547,-60.0141786926695,4,Pequeña
